Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 58.48     10.60    10.60     7501     0.00     0.00  Individual::draw_CV(unsigned char*, int, int)
 36.96     17.30     6.70     7500     0.00     0.00  utils::diff(unsigned char const*, unsigned char const*, int, int)
  1.21     17.52     0.22    28639     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::seed(unsigned long)
  0.66     17.64     0.12    28639     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  0.22     17.68     0.04 17842097     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.22     17.72     0.04   234949     0.00     0.00  void std::__advance<std::_List_iterator<Polygon*>, long>(std::_List_iterator<Polygon*>&, long, std::bidirectional_iterator_tag)
  0.17     17.75     0.03  1395372     0.00     0.00  cv::Mat::release()
  0.17     17.78     0.03   839581     0.00     0.00  std::_List_node<Point*>* std::__cxx11::list<Point*, std::allocator<Point*> >::_M_create_node<Point*>(Point*&&)
  0.14     17.81     0.03   354465     0.00     0.00  cv::Mat::~Mat()
  0.11     17.83     0.02 17870736     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.11     17.85     0.02 17842097     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.11     17.87     0.02  5692312     0.00     0.00  std::_List_iterator<Polygon*>::operator++()
  0.11     17.89     0.02  1989847     0.00     0.00  std::_List_iterator<Point*>::operator*() const
  0.11     17.91     0.02  1095046     0.00     0.00  std::__cxx11::list<Point*, std::allocator<Point*> >::end()
  0.06     17.92     0.01 17870736     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.06     17.93     0.01  3358324     0.00     0.00  Point*&& std::forward<Point*>(std::remove_reference<Point*>::type&)
  0.06     17.94     0.01  2250625     0.00     0.00  std::_List_iterator<Point*>::operator++()
  0.06     17.95     0.01  1404968     0.00     0.00  std::__cxx11::list<Point*, std::allocator<Point*> >::begin()
  0.06     17.96     0.01  1150266     0.00     0.00  Polygon::get_point(int)
  0.06     17.97     0.01  1149478     0.00     0.00  Point::get_y()
  0.06     17.98     0.01  1144216     0.00     0.00  cv::Point_<int>::Point_(int, int)
  0.06     17.99     0.01  1144216     0.00     0.00  cv::Point_<int>::operator=(cv::Point_<int>&&)
  0.06     18.00     0.01   839581     0.00     0.00  std::remove_reference<Point*&>::type&& std::move<Point*&>(Point*&)
  0.06     18.01     0.01   348701     0.00     0.00  std::__cxx11::_List_base<Point*, std::allocator<Point*> >::_M_get_size() const
  0.06     18.02     0.01   346963     0.00     0.00  cv::MatStep::MatStep(unsigned long)
  0.06     18.03     0.01   346962     0.00     0.00  cv::_InputOutputArray::_InputOutputArray(cv::Mat&)
  0.06     18.04     0.01   346962     0.00     0.00  cv::Mat::Mat()
  0.06     18.05     0.01   346962     0.00     0.00  cv::Matx<double, 4, 1>::Matx()
  0.06     18.06     0.01   346962     0.00     0.00  Colour::get_r()
  0.06     18.07     0.01   254601     0.00     0.00  Polygon::Polygon(Polygon*)
  0.06     18.08     0.01   231467     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<Polygon*> >::construct<Polygon*, Polygon*>(Polygon**, Polygon*&&)
  0.06     18.09     0.01     2500     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<Individual*> >, std::is_move_constructible<Individual*>, std::is_move_assignable<Individual*> >::value, void>::type std::swap<Individual*>(Individual*&, Individual*&)
  0.06     18.10     0.01     2500     0.00     0.00  void std::iter_swap<__gnu_cxx::__normal_iterator<Individual**, std::vector<Individual*, std::allocator<Individual*> > >, __gnu_cxx::__normal_iterator<Individual**, std::vector<Individual*, std::allocator<Individual*> > > >(__gnu_cxx::__normal_iterator<Individual**, std::vector<Individual*, std::allocator<Individual*> > >, __gnu_cxx::__normal_iterator<Individual**, std::vector<Individual*, std::allocator<Individual*> > >)
  0.06     18.11     0.01     1775     0.00     0.00  GeneticAlgorithm::cloneParents(Individual*, Individual*, std::__cxx11::list<Polygon*, std::allocator<Polygon*> >*, std::__cxx11::list<Polygon*, std::allocator<Polygon*> >*)
  0.06     18.12     0.01        1     0.01    18.10  GeneticAlgorithm::evolve(int)
  0.03     18.12     0.01  2500216     0.00     0.00  std::_List_iterator<Point*>::_List_iterator(std::__detail::_List_node_base*)
  0.03     18.13     0.01   254820     0.00     0.00  std::allocator<std::_List_node<Point*> >::allocator()
  0.03     18.13     0.01        1     0.01     0.01  std::__cxx11::stoi(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long*, int)
  0.00     18.13     0.00  3122662     0.00     0.00  cv::_InputArray::init(int, void const*)
  0.00     18.13     0.00  2830393     0.00     0.00  __gnu_cxx::__aligned_membuf<Point*>::_M_ptr()
  0.00     18.13     0.00  2830393     0.00     0.00  __gnu_cxx::__aligned_membuf<Point*>::_M_addr()
  0.00     18.13     0.00  2830393     0.00     0.00  std::_List_node<Point*>::_M_valptr()
  0.00     18.13     0.00  2288432     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00     18.13     0.00  1734813     0.00     0.00  cv::_InputArray::~_InputArray()
  0.00     18.13     0.00  1734813     0.00     0.00  cv::Size_<int>::Size_()
  0.00     18.13     0.00  1491178     0.00     0.00  cv::Point_<int>::Point_()
  0.00     18.13     0.00  1150367     0.00     0.00  std::iterator_traits<std::_List_iterator<Point*> >::iterator_category std::__iterator_category<std::_List_iterator<Point*> >(std::_List_iterator<Point*> const&)
